\u0201C           “            \textquotedblleft                            LEFT DOUBLE QUOTATION MARK / DOUBLE TURNED COMMA QUOTATION MARK
\u0201D           ”            \textquotedblright                           RIGHT DOUBLE QUOTATION MARK / DOUBLE COMMA QUOTATION MARK
\u02020           †            \dagger                                      DAGGER
\u02021           ‡            \ddagger                                     DOUBLE DAGGER
\u02022           •            \bullet                                      BULLET
\u02026           …            \dots                                        HORIZONTAL ELLIPSIS
\u02030           ‰            \textperthousand                             PER MILLE SIGN
\u02031           ‱            \textpertenthousand                          PER TEN THOUSAND SIGN
\u02032           ′            \prime                                       PRIME
\u02033           ″            \pprime                                      DOUBLE PRIME
\u02034           ‴            \ppprime                                     TRIPLE PRIME
\u02035           ‵            \backprime                                   REVERSED PRIME
\u02036           ‶            \backpprime                                  REVERSED DOUBLE PRIME
\u02037           ‷            \backppprime                                 REVERSED TRIPLE PRIME
\u02039           ‹            \guilsinglleft                               SINGLE LEFT-POINTING ANGLE QUOTATION MARK / LEFT POINTING SINGLE GUILLEMET
\u0203A           ›            \guilsinglright                              SINGLE RIGHT-POINTING ANGLE QUOTATION MARK / RIGHT POINTING SINGLE GUILLEMET
\u0203C           ‼            \:bangbang:                                  DOUBLE EXCLAMATION MARK
\u02040           ⁀            \tieconcat                                   CHARACTER TIE
\u02049           ⁉            \:interrobang:                               EXCLAMATION QUESTION MARK
\u02057           ⁗           \pppprime                                    QUADRUPLE PRIME
\u02060           ⁠             \nolinebreak                                 WORD JOINER
\u02070           ⁰            \^0                                          SUPERSCRIPT ZERO / SUPERSCRIPT DIGIT ZERO
\u02071           ⁱ            \^i                                          SUPERSCRIPT LATIN SMALL LETTER I
\u02074           ⁴            \^4                                          SUPERSCRIPT FOUR / SUPERSCRIPT DIGIT FOUR
\u02075           ⁵            \^5                                          SUPERSCRIPT FIVE / SUPERSCRIPT DIGIT FIVE
\u02076           ⁶            \^6                                          SUPERSCRIPT SIX / SUPERSCRIPT DIGIT SIX
\u02077           ⁷            \^7                                          SUPERSCRIPT SEVEN / SUPERSCRIPT DIGIT SEVEN
\u02078           ⁸            \^8                                          SUPERSCRIPT EIGHT / SUPERSCRIPT DIGIT EIGHT
\u02079           ⁹            \^9                                          SUPERSCRIPT NINE / SUPERSCRIPT DIGIT NINE
\u0207A           ⁺            \^+                                          SUPERSCRIPT PLUS SIGN
\u0207B           ⁻            \^-                                          SUPERSCRIPT MINUS / SUPERSCRIPT HYPHEN-MINUS
\u0207C           ⁼            \^=                                          SUPERSCRIPT EQUALS SIGN
\u0207D           ⁽            \^(                                          SUPERSCRIPT LEFT PARENTHESIS / SUPERSCRIPT OPENING PARENTHESIS
\u0207E           ⁾            \^)                                          SUPERSCRIPT RIGHT PARENTHESIS / SUPERSCRIPT CLOSING PARENTHESIS
\u0207F           ⁿ            \^n                                          SUPERSCRIPT LATIN SMALL LETTER N
\u02080           ₀            \_0                                          SUBSCRIPT ZERO / SUBSCRIPT DIGIT ZERO
\u02081           ₁            \_1                                          SUBSCRIPT ONE / SUBSCRIPT DIGIT ONE
\u02082           ₂            \_2                                          SUBSCRIPT TWO / SUBSCRIPT DIGIT TWO
\u02083           ₃            \_3                                          SUBSCRIPT THREE / SUBSCRIPT DIGIT THREE
\u02084           ₄            \_4                                          SUBSCRIPT FOUR / SUBSCRIPT DIGIT FOUR
\u02085           ₅            \_5                                          SUBSCRIPT FIVE / SUBSCRIPT DIGIT FIVE
\u02086           ₆            \_6                                          SUBSCRIPT SIX / SUBSCRIPT DIGIT SIX
\u02087           ₇            \_7                                          SUBSCRIPT SEVEN / SUBSCRIPT DIGIT SEVEN
\u02088           ₈            \_8                                          SUBSCRIPT EIGHT / SUBSCRIPT DIGIT EIGHT
\u02089           ₉            \_9                                          SUBSCRIPT NINE / SUBSCRIPT DIGIT NINE
\u0208A           ₊            \_+                                          SUBSCRIPT PLUS SIGN
\u0208B           ₋            \_-                                          SUBSCRIPT MINUS / SUBSCRIPT HYPHEN-MINUS
\u0208C           ₌            \_=                                          SUBSCRIPT EQUALS SIGN
\u0208D           ₍            \_(                                          SUBSCRIPT LEFT PARENTHESIS / SUBSCRIPT OPENING PARENTHESIS
\u0208E           ₎            \_)                                          SUBSCRIPT RIGHT PARENTHESIS / SUBSCRIPT CLOSING PARENTHESIS
\u02090           ₐ            \_a                                          LATIN SUBSCRIPT SMALL LETTER A
\u02091           ₑ            \_e                                          LATIN SUBSCRIPT SMALL LETTER E
\u02092           ₒ            \_o                                          LATIN SUBSCRIPT SMALL LETTER O
\u02093           ₓ            \_x                                          LATIN SUBSCRIPT SMALL LETTER X
\u02094           ₔ            \_schwa                                      LATIN SUBSCRIPT SMALL LETTER SCHWA
\u02095           ₕ            \_h                                          LATIN SUBSCRIPT SMALL LETTER H
\u02096           ₖ            \_k                                          LATIN SUBSCRIPT SMALL LETTER K
\u02097           ₗ            \_l                                          LATIN SUBSCRIPT SMALL LETTER L
\u02098           ₘ            \_m                                          LATIN SUBSCRIPT SMALL LETTER M
\u02099           ₙ            \_n                                          LATIN SUBSCRIPT SMALL LETTER N
\u0209A           ₚ            \_p                                          LATIN SUBSCRIPT SMALL LETTER P
